tticket	order_id	city_id	price	local_create_time	compensate_customer_type	operate_type	status	channel	reason	coupon_info	business_unit	business_type	cate_name
t360287970366297801	87973552738207	52310300	66.6	2021-01-13 21:00:34	1	7	2	520000001	268			23	Viaje irregular
t360287970376525565	87974023099248	52110200	25.86	2021-02-05 17:19:42	2	1	2	520000005	-1			21	Viaje irregular
t360287970369035459	87973680874344	52090100	102.36	2021-01-23 11:10:32	2	1	2	520000001	722			21	Viaje irregular
t360287970364445276	87973058775665	52140500	97.68	2021-01-09 15:43:51	2	1	1	520000001	2070			21	Viaje irregular
t360287970364537218	87973473649549	52080200	55.7	2021-01-09 19:19:52	1	7	2	520000001	268			23	Viaje irregular
t360287970361874849	87973352083759	52090100	85.4	2021-01-03 18:03:12	1	7	2	520000001	268			23	Viaje irregular
t360287970364974449	87973493540590	52151600	366.57	2021-01-14 08:12:53	2	1	1	520000001	1236			21	Viaje irregular
t360287970362318147	87973364915130	52220400	21.05	2021-01-04 20:10:14	2	1	1	520000001	716			21	Viaje irregular
t360287970373957642	87973909730380	52190500	91.9	2021-01-31 09:16:03	1	7	2	520000001	266			2114	Viaje irregular
t360287970377572937	87973881297438	52090100	66.45	2021-02-07 18:43:45	2	1	1	520000001	2070			21	Viaje irregular
t360287970380677157	87974209057786	52090100	74.7	2021-02-13 16:41:32	1	7	2	520000001	266			2114	Viaje irregular
t360287970373839735	87973900732548	52090100	41.1	2021-01-30 20:56:19	1	7	2	520000001	266			2114	Viaje irregular
t360287970376613238	87974028410358	52030200	61.8	2021-02-05 19:20:15	1	7	2	520000001	268			2114	Viaje irregular
t360287970364909497	87973490910135	52190500	154.3	2021-01-10 18:42:30	1	7	2	520000001	264			23	Viaje irregular
t360287970362600353	87973383156439	52090100	33.0	2021-01-05 12:55:04	2	1	2	520000001	1246			21	Viaje irregular
t360287970368396659	87973653334347	52090100	37.3	2021-01-18 18:03:12	1	7	2	520000001	266			23	Viaje irregular
t360287970365618658	87973524837624	52020200	63.2	2021-01-12 10:24:58	1	7	2	520000001	266			23	Viaje irregular
t360287970369564544	87973702768172	52210400	5.37	2021-01-28 15:45:18	2	1	2	520000001	2070			2068	Viaje irregular
t360287970366743123	87973572197909	52140500	42.86	2021-01-14 22:12:01	2	1	1	520000001	2070			2056	Viaje irregular
t360287970369275373	87973690494905	52010100	25.0	2021-01-20 16:45:30	1	7	2	520000001	266			2114	Viaje irregular
t360287970366547448	87973564619189	52310300	20.0	2021-01-14 13:36:10	2	1	2	520000001	1246			21	Viaje irregular
t360287970366695527	87973569146639	52090100	444.4	2021-01-14 20:28:56	2	1	1	520000001	1234			21	Viaje irregular
t360287970365592852	87973521286718	52210400	218.75	2021-01-15 11:33:30	2	1	1	520000001	1236			2056	Viaje irregular
t360287970362705956	87973387891358	52090100	30.0	2021-01-05 16:52:00	1	7	2	520000001	268			23	Viaje irregular
t360287970378474640	87974112713032	52180200	198.0	2021-02-12 12:52:39	2	1	1	520000001	1236			21	Viaje irregular
t360287970378708270	87974122543895	52090100	29.5	2021-02-09 23:58:57	1	7	2	520000001	268			2114	Viaje irregular
t360287970370635793	87973753129436	52151600	19.8	2021-01-23 16:28:12	1	7	2	520000001	268			2114	Viaje irregular
t360287970366677260	87973169755252	52220400	183.41	2021-01-14 17:06:09	2	1	3	520000001	1234			21	Viaje irregular
t360287970380630857	87974205216498	52151600	32.6	2021-02-13 14:14:16	1	7	2	520000001	268			2114	Viaje irregular
t360287970379904774	87974173065056	52210400	53.22	2021-02-12 08:44:08	2	1	2	520000001	1234			21	Viaje irregular
t360287970365391583	87973514210856	52090100	120.2	2021-01-11 21:34:45	1	7	2	520000001	264			23	Viaje irregular
t360287970375264375	87973969681501	52090100	34.4	2021-02-03 08:58:20	1	7	2	520000001	268			2114	Viaje irregular
t360287970377098734	87974053620772	52250300	70.6	2021-02-06 18:47:00	1	7	2	520000001	268			2114	Viaje irregular
t360287970373118662	87973867108087	52190500	81.54	2021-01-29 13:46:29	2	1	1	520000001	2070			21	Viaje irregular
t360287970368576617	87973662112269	52190500	83.51	2021-01-19 09:00:24	2	1	2	520000001	722			21	Viaje irregular
t360287970366260459	87973551074336	52090100	44.0	2021-01-13 18:52:08	1	7	2	520000001	268			23	Viaje irregular
t360287970368326449	87973648689243	52090100	170.56	2021-01-18 14:23:20	1	7	2	520000001	266			23	Viaje irregular
t360287970368628244	87973662181774	52090100	283.63	2021-01-24 09:17:20	2	1	2	520000001	1236			21	Viaje irregular
t360287970370557251	87973749804046	52140500	111.1	2021-01-23 14:44:56	1	7	2	520000001	268			2114	Viaje irregular
t360287970377477608	87974069626977	52090100	64.4	2021-02-07 15:18:01	1	7	2	520000001	268			2114	Viaje irregular
t360287970372238901	87973523803396	52210400	873.55	2021-01-27 11:48:10	2	1	2	520000001	1234			2056	Viaje irregular
t360287970364707874	87973483119216	52151600	50.6	2021-01-10 10:39:45	1	7	2	520000001	266			23	Viaje irregular
